14.90,20.02,13.13,18.38,13.12,18.35,14.13,19.50,14.98,20.44,15.33,21.02,12.81,18.43
5.17,14.17,4.10,11.26,4.09,11.38,11.48,24.64,13.22,34.06,14.27,37.16,6.77,19.76
13.61,22.52,11.57,21.28,11.56,21.48,14.89,24.38,17.89,27.58,18.05,28.78,12.45,22.42
3.36,7.14,2.69,5.69,2.66,5.72,4.55,7.18,6.56,10.22,6.94,10.74,2.76,5.72
8.16,14.34,6.64,12.49,6.60,12.33,8.76,13.97,7.50,14.35,7.18,15.35,6.98,15.26
7.25,15.84,4.99,11.67,5.03,11.68,12.67,19.16,9.40,17.36,7.96,16.54,7.02,12.42
3.59,8.54,3.00,7.32,3.02,7.45,4.51,9.10,9.59,15.98,10.35,17.69,3.20,8.02
7.30,17.11,6.08,15.42,6.03,15.47,8.47,17.85,10.73,22.12,11.95,24.29,6.81,16.29
6.11,12.29,5.42,10.69,5.41,10.68,5.69,10.90,6.41,13.75,6.46,14.05,4.59,9.57
5.24,14.16,4.96,12.69,4.94,12.64,5.20,14.47,5.27,13.55,5.77,15.02,4.28,12.66
4.82,11.89,4.70,11.46,4.73,11.60,5.44,12.95,6.24,16.34,6.82,18.91,4.79,11.83
5.04,11.23,4.05,8.98,4.03,9.01,11.44,18.29,12.67,20.31,13.12,21.27,7.11,13.79
6.31,13.97,5.39,11.85,5.33,11.70,7.52,15.83,8.55,16.93,8.92,17.63,4.92,11.89
12.05,29.99,10.99,28.89,10.93,28.99,13.28,30.05,14.77,31.48,15.09,32.38,11.97,29.18