0.2118,0.2389,0.2382,0.2086,0.2131,0.218,0.2459
0.4717,0.5221,0.5215,0.2992,0.2622,0.2709,0.4152
0.277,0.2985,0.2985,0.2358,0.1928,0.1939,0.2806
0.266,0.2938,0.2945,0.2046,0.154,0.1427,0.285
0.5791,0.6463,0.6466,0.519,0.3838,0.3986,0.6339
0.3562,0.4037,0.4067,0.3358,0.3855,0.3743,0.3926
0.3821,0.4708,0.4706,0.2668,0.3634,0.3288,0.3951
0.5661,0.6135,0.6119,0.5082,0.2698,0.2904,0.5922
0.3841,0.4277,0.4291,0.3355,0.2617,0.2808,0.398
0.4213,0.455,0.4557,0.4419,0.4107,0.4125,0.4997
0.4594,0.4785,0.4805,0.4615,0.4319,0.4578,0.5152
0.498,0.5051,0.5058,0.4591,0.3903,0.4119,0.5029
0.4722,0.5366,0.536,0.2561,0.2233,0.2279,0.3834
0.4128,0.4502,0.4529,0.375,0.3457,0.3557,0.4711